y_true,zero,one
0.0,0.5245473980903625,0.4754526913166046
0.0,0.5211247801780701,0.47887521982192993
0.0,0.5235246419906616,0.4764753580093384
0.0,0.5252362489700317,0.4747636914253235
0.0,0.5330251455307007,0.46697482466697693
0.0,0.5322163105010986,0.46778374910354614
0.0,0.5172708034515381,0.4827291667461395
0.0,0.5188840627670288,0.4811159372329712
0.0,0.5272316932678223,0.47276830673217773
0.0,0.5310150384902954,0.468984991312027
0.0,0.5173406004905701,0.48265939950942993
0.0,0.5222582817077637,0.47774165868759155
0.0,0.5134145021438599,0.48658549785614014
0.0,0.5220702290534973,0.4779298007488251
0.0,0.510513961315155,0.48948603868484497
0.0,0.5174996852874756,0.482500284910202
0.0,0.5149480700492859,0.4850519299507141
0.0,0.5112741589546204,0.48872584104537964
0.0,0.4955945611000061,0.5044054985046387
0.0,0.49914634227752686,0.5008535981178284
0.0,0.5131855010986328,0.4868145287036896
0.0,0.4816989302635193,0.5183011293411255
0.0,0.49496957659721375,0.5050304532051086
0.0,0.47468987107276917,0.5253101587295532
0.0,0.4757051467895508,0.524294912815094
0.0,0.4937250018119812,0.5062749981880188
0.0,0.48200783133506775,0.5179921388626099
0.0,0.4900900423526764,0.509909987449646
0.0,0.480505108833313,0.5194949507713318
0.0,0.512866735458374,0.48713329434394836
0.0,0.46348875761032104,0.536511242389679
0.0,0.48172450065612793,0.5182755589485168
0.0,0.4779329001903534,0.5220670700073242
0.0,0.4762854278087616,0.5237146019935608
0.0,0.45910078287124634,0.5408992767333984
0.0,0.4616028666496277,0.5383971333503723
0.0,0.4670946002006531,0.5329054594039917
0.0,0.4411962330341339,0.5588038563728333
0.0,0.4493943452835083,0.5506056547164917
0.0,0.4825562536716461,0.5174437165260315
0.0,0.6862021088600159,0.3137979209423065
0.0,0.6941522359848022,0.30584776401519775
0.0,0.6973620653152466,0.3026379346847534
0.0,0.688106119632721,0.31189385056495667
0.0,0.6867930293083191,0.3132069408893585
0.0,0.6827352643013,0.3172646760940552
0.0,0.6921179294586182,0.3078821003437042
0.0,0.6827279329299927,0.3172720670700073
0.0,0.683256208896637,0.31674379110336304
0.0,0.6766112446784973,0.3233887851238251
0.0,0.7721368074417114,0.22786325216293335
