,Threshold,Metric,Class 1 Mean_Std,Class 2 Mean_Std
0,0.05,Accuracy,0.88_0.0,0.88_0.0
1,0.05,Recall,0.937_0.0,0.7_0.0
2,0.05,Precision,0.909_0.0,0.777_0.0
3,0.05,TSS,0.637_0.0,0.637_0.0
4,0.05,BSS,0.173_0.0,0.045_0.0
5,0.05,HSS,0.66_0.0,0.66_0.0
6,0.05,FAR,0.09_0.0,0.222_0.0
7,0.05,FPR,0.299_0.0,0.062_0.0
