,Threshold,Metric,Class 1 Mean_Std,Class 2 Mean_Std
0,0.5,Accuracy,0.814_0.038,0.814_0.038
1,0.5,Recall,0.803_0.065,0.85_0.067
2,0.5,Precision,0.946_0.018,0.587_0.077
3,0.5,TSS,0.653_0.04,0.653_0.04
4,0.5,BSS,0.161_0.026,0.107_0.147
5,0.5,HSS,0.564_0.061,0.564_0.061
6,0.5,FAR,0.053_0.018,0.412_0.077
7,0.5,FPR,0.15_0.067,0.196_0.065
