Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.05,Accuracy,0.882,0.882
0.05,Recall,0.882,0.875
0.05,Precision,0.989,0.35
0.05,TSS,0.757,0.757
0.05,HSS,0.446,0.446
0.05,FAR,0.01,0.65
0.05,FPR,0.125,0.117
