Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.45,Accuracy,0.826,0.826
0.45,Recall,0.817,0.921
0.45,Precision,0.99,0.322
0.45,BSS,0.133,-0.692
0.45,HSS,0.401,0.401
0.45,FAR,0.009,0.677
0.45,FPR,0.078,0.182
