Threshold,TSS
0.05,0.0
0.1,0.0
0.15000000000000002,0.089
0.2,0.226
0.25,0.393
0.3,0.515
0.35000000000000003,0.624
0.4,0.688
0.45,0.738
0.5,0.669
0.55,0.656
0.6000000000000001,0.607
0.6500000000000001,0.565
0.7000000000000001,0.502
0.7500000000000001,0.498
0.8,0.415
0.8500000000000001,0.379
0.9000000000000001,0.235
0.9500000000000001,0.149
