Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.05,Accuracy,0.65,0.65
0.05,Recall,0.653,0.618
0.05,Precision,0.947,0.144
0.05,TSS,0.271,0.271
0.05,HSS,0.109,0.109
0.05,FAR,0.052,0.855
0.05,FPR,0.381,0.346
