Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.6000000000000001,Accuracy,0.777,0.777
0.6000000000000001,Recall,0.756,0.848
0.6000000000000001,Precision,0.945,0.5
0.6000000000000001,BSS,0.209,-0.211
0.6000000000000001,HSS,0.484,0.484
0.6000000000000001,FAR,0.054,0.5
0.6000000000000001,FPR,0.151,0.243
