T_REC,noaaID,Class,one,MPlus,y_true
20240221,13586.0,N,0.381,0.002,0
20240222,13586.0,N,0.436,0.0022,0
20240223,13586.0,N,0.458,0.0026,0
20240224,13586.0,N,0.453,0.0016,0
20240225,13586.0,N,0.45,0.0015,0
20240303,13592.0,C,0.465,0.009,0
20240305,13599.0,C,0.538,0.002,0
20240310,13599.0,M,0.739,0.1359,1
20240311,13599.0,C,0.693,0.0425,0
20240312,13599.0,C,0.85,0.1877,0
20240327,13615.0,M,0.941,0.9964,1
20240328,13615.0,X,0.948,0.9973,1
20240416,13637.0,C,0.797,0.0009,0
20240417,13638.0,C,0.732,0.0072,0
20240417,13639.0,C,0.831,0.0699,0
20240418,13638.0,M,0.69,0.0737,1
20240419,13638.0,C,0.708,0.9962,0
20240419,13639.0,C,0.748,0.0152,0
20240420,13639.0,C,0.769,0.0098,0
20240424,13654.0,C,0.869,0.0412,0
20240425,13654.0,C,0.739,0.0028,0
20240426,13654.0,C,0.403,0.0089,0
20240428,13654.0,C,0.881,0.2176,0
20240430,13654.0,M,0.981,0.047,1
20240503,13663.0,X,0.936,0.0019,1
20240504,13663.0,M,0.997,0.0441,1
20240507,13663.0,M,0.973,0.9957,1
20240508,13663.0,X,0.878,0.9906,1
20240508,13664.0,X,0.997,0.9968,1
20240511,13664.0,X,0.999,0.9971,1
20240514,13674.0,N,0.592,0.0554,0
20240515,13679.0,C,0.577,0.0019,0
20240517,13682.0,N,0.408,0.0021,0
20240518,13679.0,C,0.659,0.2019,0
20240518,13682.0,N,0.299,0.001,0
20240519,13682.0,N,0.286,0.259,0
20240519,13685.0,M,0.812,0.0063,1
20240521,13679.0,M,0.864,0.0224,1
20240521,13685.0,C,0.798,0.0205,0
20240522,13685.0,C,0.555,0.0273,0
20240523,13679.0,M,0.962,0.247,1
20240523,13685.0,C,0.54,0.7742,0
20240524,13685.0,M,0.625,0.0019,1
20240528,13691.0,C,0.466,0.0488,0
20240529,13691.0,M,0.74,0.0164,1
20240531,13692.0,N,0.234,0.1021,0
20240531,13691.0,C,0.551,0.0127,0
20240601,13691.0,C,0.65,0.0868,0
