,Threshold,Metric,Class 1 Mean_Std,Class 2 Mean_Std
0,0.55,Accuracy,0.851_0.026,0.851_0.026
1,0.55,Recall,0.842_0.034,0.891_0.027
2,0.55,Precision,0.972_0.006,0.563_0.053
3,0.55,TSS,0.733_0.036,0.733_0.036
4,0.55,BSS,0.158_0.018,-0.058_0.121
5,0.55,HSS,0.598_0.054,0.598_0.054
6,0.55,FAR,0.027_0.006,0.436_0.053
7,0.55,FPR,0.108_0.027,0.157_0.034
