,Threshold,Metric,Class 1 Mean_Std,Class 2 Mean_Std
0,0.25,Accuracy,0.824_0.0,0.824_0.0
1,0.25,Recall,0.981_0.0,0.125_0.0
2,0.25,Precision,0.833_0.0,0.599_0.0
3,0.25,TSS,0.106_0.0,0.106_0.0
4,0.25,BSS,0.162_0.0,-0.086_0.0
5,0.25,HSS,0.153_0.0,0.153_0.0
6,0.25,FAR,0.166_0.0,0.399_0.0
7,0.25,FPR,0.875_0.0,0.018_0.0
