Threshold,TSS,TSSstd
0.05,0.007,0.022
0.1,0.091,0.152
0.15000000000000002,0.244,0.182
0.2,0.369,0.17
0.25,0.461,0.14
0.3,0.564,0.115
0.35000000000000003,0.659,0.059
0.4,0.71,0.037
0.45,0.72,0.036
0.5,0.713,0.07
0.55,0.659,0.087
0.6000000000000001,0.622,0.1
0.6500000000000001,0.547,0.115
0.7000000000000001,0.493,0.149
0.7500000000000001,0.402,0.15
0.8,0.311,0.131
0.8500000000000001,0.217,0.113
0.9000000000000001,0.111,0.103
0.9500000000000001,0.041,0.045
