Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.45,Accuracy,0.877,0.877
0.45,Recall,0.869,0.916
0.45,Precision,0.978,0.611
0.45,BSS,0.111,0.254
0.45,HSS,0.658,0.658
0.45,FAR,0.021,0.388
0.45,FPR,0.083,0.13
