id,noaaID,lat,lon,hasNOAAMeta,model,prediction_window_start,prediction_window_end,issue_time,CPlus,MPlus,C,M,X,prediction_date,MPlus_avg
1e31ad58-dc83-438b-a4da-8de9e5630e50,13603,14,-53.0,True,ASAP_1,2024/3/5 0:00,2024/3/6 0:00,2024/3/5 0:00,,0.0116,0.094599999,0.0116,0.0,20240305,0.00415
23a73567-8ba4-4356-b553-e196ecda31fd,13603,14,-40.0,True,AMOS_v1,2024/3/6 0:00,2024/3/7 0:00,2024/3/6 0:30,0.024499999,0.0032,,,0.0,20240306,0.0027333333333333337
b9595032-7bc1-414d-937a-8c2c9225de40,13603,13,-28.0,True,ASAP_1,2024/3/7 0:00,2024/3/8 0:00,2024/3/7 0:00,,0.0,0.108000003,0.0,0.0,20240307,0.0
1a8cc19c-4fb5-4d48-8cf1-3184b401d82b,13604,8,-71.0,True,NOAA_1,2024/3/6 0:00,2024/3/7 0:00,2024/3/5 22:00,,0.02,0.100000001,0.01,0.01,20240306,0.02
95a584ee-8546-41b3-8b99-1d0999caa43d,13604,8,-65.0,True,AMOS_v1,2024/3/7 0:00,2024/3/8 0:00,2024/3/7 0:30,0.068300001,0.0034,,,0.0,20240307,0.00685
b7ad415c-9f01-4d7a-b615-2606a6faaa32,13604,8,-43.0,True,AMOS_v1,2024/3/8 0:00,2024/3/9 0:00,2024/3/8 0:30,0.0407,0.0,,,0.0,20240308,0.0023333333333333335
bf2dc9e8-f1dd-454b-8a5b-e0785ab256f1,13605,-15,-26.0,True,ASAP_1,2024/3/8 0:00,2024/3/9 0:00,2024/3/8 0:00,,0.033199999,0.256000012,0.033199999,0.0,20240308,0.0466
7f503b54-7c63-421f-881e-cf0e343eb5e5,13605,-15,-13.0,True,AMOS_v1,2024/3/9 0:00,2024/3/10 0:00,2024/3/9 0:30,0.253199995,0.0317,,,0.0012,20240309,0.021033333333333334
157430ca-068e-4e44-87f6-a959a3203f0f,13605,-15,1.0,True,AMOS_v1,2024/3/10 0:00,2024/3/11 0:00,2024/3/10 0:30,0.071800001,0.0053,,,0.0,20240310,0.00556
d8187a34-dfdf-4abe-868c-a9538b6529c2,13605,-15,14.0,True,AMOS_v1,2024/3/11 0:00,2024/3/12 0:00,2024/3/11 0:30,0.071800001,0.0053,,,0.0,20240311,0.00106
