id,noaaID,lat,lon,hasNOAAMeta,model,prediction_window_start,prediction_window_end,issue_time,CPlus,MPlus,C,M,X
fecae803-3298-4448-a438-beb26e3f5ee1,13487,-17,76.0,True,AMOS_v1,2023/11/17 0:00,2023/11/18 0:00,2023/11/17 0:30,0.0403,0.0055,,,0.0
34e6b524-9a9e-4df8-9bcb-eff58e14aa64,13487,-17,76.0,True,NOAA_1,2023/11/17 0:00,2023/11/18 0:00,2023/11/16 22:00,,0.02,0.100000001,0.01,0.01
d36c2c2a-9e3e-4df2-ac76-c93bbfc8c8c9,13488,29,-76.0,True,ASAP_1,2023/11/15 0:00,2023/11/16 0:00,2023/11/15 0:00,,0.0126,0.109999999,0.0126,0.0
2976612a-c01c-4cae-a30e-0e52c19886ad,13488,29,-76.0,True,NOAA_1,2023/11/15 0:00,2023/11/16 0:00,2023/11/14 22:00,,0.02,0.050000001,0.01,0.01
34528ed4-727f-41d7-b66b-8d8e47ba5ada,13488,29,-63.0,True,AMOS_v1,2023/11/16 0:00,2023/11/17 0:00,2023/11/16 0:30,0.0287,0.0,,,0.0
6cdebb72-c8e8-4e52-9174-987d54cca6a4,13488,29,-63.0,True,MAG4_LOS_FEr,2023/11/16 0:00,2023/11/17 0:00,2023/11/16 0:00,,0.0,,0.0,0.0
7c91382f-6d5a-4f7a-9435-5dbae34176b4,13488,29,-63.0,True,MAG4_LOS_r,2023/11/16 0:00,2023/11/17 0:00,2023/11/16 0:00,,0.0,,0.0,0.0
1bbacc49-fbcb-4994-8b7f-e50f22295f53,13488,29,-63.0,True,NOAA_1,2023/11/16 0:00,2023/11/17 0:00,2023/11/15 22:05,,0.02,0.050000001,0.01,0.01
22ea9204-afa4-4bbd-85c8-89b185384c1f,13489,-15,-71.0,True,NOAA_1,2023/11/18 0:00,2023/11/19 0:00,2023/11/17 22:00,,0.060000001000000004,0.200000003,0.050000001,0.01
8b742e04-1938-45ff-a26c-4265583a2ba7,13489,-15,-58.0,True,AMOS_v1,2023/11/19 0:00,2023/11/20 0:00,2023/11/19 0:30,0.136099994,0.0217,,,0.0
1c86c836-d4a6-474f-bbfb-1c0425f42563,13489,-15,-58.0,True,MAG4_LOS_FEr,2023/11/19 0:00,2023/11/20 0:00,2023/11/19 0:00,,0.035999998,,0.030999999,0.006
4d7cd1e0-567f-4280-b8c0-f5f64f4c3d7e,13489,-15,-58.0,True,MAG4_LOS_r,2023/11/19 0:00,2023/11/20 0:00,2023/11/19 0:00,,0.029999999,,0.027000001,0.003
ea42118c-bfad-4773-a2cb-150967442ed7,13489,-15,-58.0,True,NOAA_1,2023/11/19 0:00,2023/11/20 0:00,2023/11/18 22:00,,0.060000001000000004,0.25,0.050000001,0.01
143bf090-db44-469c-b1e0-2863fa4e9527,13489,-16,-32.0,True,MAG4_LOS_FEr,2023/11/21 0:00,2023/11/22 0:00,2023/11/21 0:00,,0.090000004,,0.075999998,0.015
10807729-5368-430f-aae8-f88e36b417ab,13489,-16,-32.0,True,MAG4_LOS_r,2023/11/21 0:00,2023/11/22 0:00,2023/11/21 0:00,,0.074000001,,0.066,0.009
ac273a57-c497-4e4f-a0bb-b8c30deb997f,13489,-15,64.0,True,MAG4_LOS_FEr,2023/11/28 0:00,2023/11/29 0:00,2023/11/28 0:00,,0.011,,0.009,0.002
bb781bfc-2507-4378-828b-166f274c668c,13489,-15,64.0,True,MAG4_LOS_r,2023/11/28 0:00,2023/11/29 0:00,2023/11/28 0:00,,0.009,,0.008,0.001
62e4c6e5-8646-4227-967b-8c13a975e2a6,13490,23,-65.0,True,AMOS_v1,2023/11/20 0:00,2023/11/21 0:00,2023/11/20 0:30,0.253199995,0.0317,,,0.0012
ff3ba5fb-ae03-45e9-8c9b-1503c020ea26,13490,23,-65.0,True,MAG4_LOS_FEr,2023/11/20 0:00,2023/11/21 0:00,2023/11/20 0:00,,0.011,,0.009,0.002
