CLASS,noaaID,FITS文件,NOAA_NUM,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
N,13496,hmi.sharp_cea_720s.10422.20231122_163600_TAI.magnetogram.fits,1,-0.8063519206747315,-0.635971582771467,-0.8682798349023819,-0.5214082865520745,-0.6169517323993894,-0.8467878502781233,-0.9333602552355336,-0.8515984426929574,-0.2758760870491295,-0.45838762011206263
N,13496,hmi.sharp_cea_720s.10422.20231122_171200_TAI.magnetogram.fits,1,-0.8134877763304242,-0.6367674915020475,-0.8719711895080542,-0.5234377141128965,-0.6350395416587096,-0.8478857676708944,-0.9310626026404761,-0.8694600974037777,-0.45733358658151113,-0.8479274827688299
N,13496,hmi.sharp_cea_720s.10422.20231122_174800_TAI.magnetogram.fits,1,-0.8172691099278906,-0.6376983563811154,-0.8772869746272673,-0.5118505573524124,-0.6253199237648748,-0.8524989147262046,-0.931402147789614,-0.8181176675713902,-0.9079772530602362,-0.8954549601755859
N,13496,hmi.sharp_cea_720s.10422.20231122_182400_TAI.magnetogram.fits,1,-0.8201460137307024,-0.6381302136216337,-0.8806403927797669,-0.5181655202183718,-0.614129807356079,-0.8551650754977641,-0.9359234095911553,-0.7826330227743785,-2.1486813627381376,-0.999544268043051
N,13496,hmi.sharp_cea_720s.10422.20231122_190000_TAI.magnetogram.fits,1,-0.8150563490448406,-0.6386908906055422,-0.8809918338992088,-0.5186993648244386,-0.5971487555742613,-0.856512755113839,-0.9360794823277234,-0.7035151462006802,-0.34858071190572143,-1.2302655943251055
N,13496,hmi.sharp_cea_720s.10422.20231122_193600_TAI.magnetogram.fits,1,-0.8102552373495994,-0.6392469198108657,-0.880074601169468,-0.5092649384267036,-0.594385471780508,-0.8568579096783409,-0.9402099071722316,-0.6923990632474117,-2.1486813627381376,-1.2884774656486637
N,13496,hmi.sharp_cea_720s.10422.20231122_202400_TAI.magnetogram.fits,1,-0.804159473642175,-0.6394289458933718,-0.8675678037537982,-0.5208484624391415,-0.5845771141789967,-0.8541505015336545,-0.9402527604582884,-0.9054181161159042,-2.1486813627381376,-1.0585094986191192
N,13496,hmi.sharp_cea_720s.10422.20231122_204800_TAI.magnetogram.fits,1,-0.806317075612949,-0.6404307423854658,-0.86776568074448,-0.5476164060452625,-0.6135726626055047,-0.856048410936443,-0.9390712355374495,-0.975542151991364,-2.1486813627381376,-1.1291793853193115
N,13496,hmi.sharp_cea_720s.10422.20231122_212400_TAI.magnetogram.fits,1,-0.8280547314218024,-0.6412167836351031,-0.8832991679092792,-0.5566803942375521,-0.6230498460776951,-0.8638942675943039,-0.9368108261599266,-0.9597170810139358,-0.5876881981831419,-0.7436680806930657
N,13496,hmi.sharp_cea_720s.10422.20231122_220000_TAI.magnetogram.fits,1,-0.8280492183460314,-0.641246197525806,-0.885848577586034,-0.5583161415359768,-0.6441422125760612,-0.8637979188839462,-0.924456587470988,-0.9547280244499653,-0.3388631496464421,-0.7612148720549321
N,13496,hmi.sharp_cea_720s.10422.20231122_223600_TAI.magnetogram.fits,1,-0.8292534628108668,-0.6406144301227592,-0.8848693752852832,-0.5448528794891101,-0.6413774914632542,-0.865523898769728,-0.9245474326409463,-0.8541255092402616,-0.508483235437711,-0.5374149745285096
N,13496,hmi.sharp_cea_720s.10422.20231122_231200_TAI.magnetogram.fits,1,-0.8311570486227838,-0.6411726162998093,-0.8886581866248299,-0.553475191595867,-0.6423104788413784,-0.8666355950459684,-0.9197886533043328,-0.8649047426346893,-0.6079198153029177,-0.763941845307192
N,13496,hmi.sharp_cea_720s.10422.20231123_000000_TAI.magnetogram.fits,1,-0.8335964118647291,-0.6388436357625117,-0.8868355361834936,-0.5451048783735863,-0.6270039111911047,-0.865050906699809,-0.9184846405486016,-0.7499637491866882,-0.591280531866511,-0.40476222164760384
N,13496,hmi.sharp_cea_720s.10422.20231123_003600_TAI.magnetogram.fits,1,-0.8213267028943712,-0.6375232361226953,-0.877536618051119,-0.5541640900768975,-0.5743651702527819,-0.8607774947837646,-0.9181959442844468,-0.7361023555133143,-0.3387014273492768,-0.3465347482845217
N,13496,hmi.sharp_cea_720s.10422.20231123_011200_TAI.magnetogram.fits,1,-0.8199974524485267,-0.6362161786068474,-0.8747763836108676,-0.532147809715117,-0.5926250153330522,-0.8581499864000788,-0.9127946296311275,-0.6840830385401702,-0.22150169695914396,-0.24440256803861077
N,13496,hmi.sharp_cea_720s.10422.20231123_014800_TAI.magnetogram.fits,1,-0.8188002745593392,-0.6369413734922249,-0.8747249749096647,-0.5354155352693288,-0.6005978180781069,-0.857768750079361,-0.9121643044780979,-0.7254748430352282,-0.17951217596244795,-0.5264528065503922
N,13496,hmi.sharp_cea_720s.10422.20231123_022400_TAI.magnetogram.fits,1,-0.8192981840239774,-0.63827146560807,-0.8782884572184565,-0.5337185666593978,-0.5796058886717915,-0.857944500975599,-0.9095030166213998,-0.718033070703537,-0.3855914288635158,-1.211452154830122
N,13501,hmi.sharp_cea_720s.10434.20231128_074800_TAI.magnetogram.fits,1,-0.7296188762230252,-0.43943467901625494,-0.7561541446697834,-0.3971882460053617,-0.4656191972358513,-0.6982408961297539,-0.7759716841706619,1.4767010352567052,-0.3145676116866777,1.353030313424651
N,13501,hmi.sharp_cea_720s.10434.20231128_082400_TAI.magnetogram.fits,1,-0.7319304293479512,-0.4373738025846609,-0.7563788121050449,-0.38407485327797436,-0.4109609063643633,-0.6988091405365521,-0.7792920451513043,1.3978374926073394,-2.1486813627381376,1.4185364270146066
N,13501,hmi.sharp_cea_720s.10434.20231128_091200_TAI.magnetogram.fits,1,-0.7407375364662765,-0.4440700336984697,-0.7699785876579428,-0.3681902888431327,-0.394157889359505,-0.7042035946808186,-0.7797178258095154,1.351200563453453,-0.9968851421284685,1.495972194920606
N,13501,hmi.sharp_cea_720s.10434.20231128_094800_TAI.magnetogram.fits,1,-0.7423733770559046,-0.4406743142738205,-0.7659276274499094,-0.39869743469080055,-0.48447479426330603,-0.7010626733758766,-0.7789321344462254,1.2710016857439659,-2.1486813627381376,1.390509559293088
N,13501,hmi.sharp_cea_720s.10434.20231128_102400_TAI.magnetogram.fits,1,-0.7461485015790748,-0.4395610005042304,-0.7615532502301702,-0.38718972030162435,-0.4420470755471859,-0.6994923425707752,-0.776857809292885,1.2351699217727983,-2.1486813627381376,1.319532580876441
N,13501,hmi.sharp_cea_720s.10434.20231128_110000_TAI.magnetogram.fits,1,-0.7432073932354982,-0.4345188900473851,-0.757731969877843,-0.3765323136433397,-0.39432875597725836,-0.6996128074579681,-0.7710507512997806,1.4021808058327239,-2.1486813627381376,1.2576938017865076
N,13501,hmi.sharp_cea_720s.10434.20231128_113600_TAI.magnetogram.fits,1,-0.7322413483849707,-0.43247557870958325,-0.7499140465351123,-0.37184061741313246,-0.3951259511485199,-0.6999945067855508,-0.7723751773146458,1.550333701952461,-2.1486813627381376,1.2334794190931853
N,13501,hmi.sharp_cea_720s.10434.20231128_121200_TAI.magnetogram.fits,1,-0.7400020156926858,-0.427265068448185,-0.7574062057954272,-0.3735538996474887,-0.40888746088186684,-0.7062402068129402,-0.7762444562191677,1.8657582253606713,-2.1486813627381376,1.1805703225584923
N,13501,hmi.sharp_cea_720s.10434.20231128_124800_TAI.magnetogram.fits,1,-0.7382352747467053,-0.42952925768262207,-0.760157609225648,-0.3711035336304405,-0.44866981573516884,-0.7072828869615672,-0.7791765070290095,1.8399354284993357,-2.1486813627381376,1.2645577943876625
N,13501,hmi.sharp_cea_720s.10434.20231128_132400_TAI.magnetogram.fits,1,-0.7387932335644614,-0.42885181607001127,-0.755555600668359,-0.3750646556692732,-0.4381429994210865,-0.7134647159335152,-0.7750191255549949,1.9900855426815438,-2.1486813627381376,1.426506784928001
N,13501,hmi.sharp_cea_720s.10434.20231128_140000_TAI.magnetogram.fits,1,-0.738167166424605,-0.4365463079981171,-0.7503629045561311,-0.3709640584642557,-0.40969045052743247,-0.7096304396842488,-0.7730386904194647,1.775604187339153,-2.1486813627381376,1.335215859332772
N,13501,hmi.sharp_cea_720s.10434.20231128_143600_TAI.magnetogram.fits,1,-0.7324527524237243,-0.4311678323107546,-0.7529777495931326,-0.3528927000136525,-0.44164638655875293,-0.7092858576600816,-0.7806701397300471,1.8521733748722322,-0.6143366035300065,1.3636720372258915
N,13501,hmi.sharp_cea_720s.10434.20231128_151200_TAI.magnetogram.fits,1,-0.7366729388935986,-0.4336108649970049,-0.7488317791130008,-0.3737158838958255,-0.38286783789444967,-0.711240340465302,-0.7839763009778287,1.724059983202801,-2.1486813627381376,1.4620948040679165
N,13501,hmi.sharp_cea_720s.10434.20231128_154800_TAI.magnetogram.fits,1,-0.7410396173217695,-0.4346350935515153,-0.7561592162696416,-0.3755287204918831,-0.448511914823603,-0.7071811027826095,-0.7819129698039076,1.5228746795670112,-0.6736544766313108,1.410985922364522
N,13501,hmi.sharp_cea_720s.10434.20231128_162400_TAI.magnetogram.fits,1,-0.7488873491344862,-0.4363613854155423,-0.7702082872401202,-0.36216906790748754,-0.4496895579706797,-0.7117267481346052,-0.7845688735025418,1.5015905395506253,-2.1486813627381376,1.5407998241652658
N,13501,hmi.sharp_cea_720s.10434.20231128_170000_TAI.magnetogram.fits,1,-0.7470687640904988,-0.4395249584108736,-0.7681959140484306,-0.3649144259481046,-0.4124336692441117,-0.7145448382925315,-0.7846908429050637,1.4363436325974064,-2.1486813627381376,1.7207545264014672
N,13501,hmi.sharp_cea_720s.10434.20231128_174800_TAI.magnetogram.fits,1,-0.7547086931496069,-0.446255994048852,-0.7853021942743734,-0.35690708742662464,-0.41721016265050653,-0.7226849023701308,-0.7832274757791144,1.5223466602757458,0.0076055010939404845,1.7428311086656878
N,13501,hmi.sharp_cea_720s.10434.20231128_182400_TAI.magnetogram.fits,1,-0.7552094908464017,-0.44772799292502974,-0.7889957366215659,-0.34856768904384133,-0.39320518401770077,-0.7262556213538408,-0.7852353489015007,1.7024719357408238,-0.3101964390574312,1.7432410340344484
N,13501,hmi.sharp_cea_720s.10434.20231128_184800_TAI.magnetogram.fits,1,-0.7505404176724014,-0.44836133715610166,-0.7824254093936083,-0.365471083182805,-0.43974019581163476,-0.7245232087139507,-0.7897566192302966,1.7410820071835962,-0.24086405330242996,1.6538377841792415
N,13501,hmi.sharp_cea_720s.10434.20231128_193600_TAI.magnetogram.fits,1,-0.7394630917141917,-0.44250352180328023,-0.7781571605885841,-0.3627204723073405,-0.4740841699014655,-0.7242161664299749,-0.7933251060216342,2.1207897851155395,-0.4160674676635182,1.594578881896485
N,13501,hmi.sharp_cea_720s.10434.20231128_201200_TAI.magnetogram.fits,1,-0.7360926696034704,-0.4421331337854212,-0.7594624244834149,-0.3463621843489137,-0.4011898417457295,-0.7204109344403333,-0.7915853087784874,1.897908535353044,-0.4251886806666133,1.5303231066812975
N,13501,hmi.sharp_cea_720s.10434.20231128_204800_TAI.magnetogram.fits,1,-0.7282481906355723,-0.43701177382357476,-0.7529797582789916,-0.3720082642840669,-0.40262191445114814,-0.719106614150424,-0.7922654178983272,1.6888177184313788,-0.5366898056264199,1.5638378567066817
N,13501,hmi.sharp_cea_720s.10434.20231128_212400_TAI.magnetogram.fits,1,-0.7482371543397964,-0.4445479405413247,-0.7846317613217991,-0.36096166365341287,-0.40006044954102765,-0.7310046405812473,-0.7942852835540193,1.8721609254740654,-2.1486813627381376,1.860989346208949
N,13501,hmi.sharp_cea_720s.10434.20231128_220000_TAI.magnetogram.fits,1,-0.7649333268207738,-0.44908504756108847,-0.8082732742454819,-0.37559370609182274,-0.4237038176910305,-0.74032550662853,-0.796482238045247,2.03871501001306,-2.1486813627381376,2.0916678245161577
N,13501,hmi.sharp_cea_720s.10434.20231128_223600_TAI.magnetogram.fits,1,-0.7708515394519349,-0.45327740863979177,-0.8121973416517977,-0.3824177874818451,-0.47481488621682977,-0.7447487705461581,-0.8004215899743945,2.0496523997593803,-2.1486813627381376,2.1323836755570533
N,13501,hmi.sharp_cea_720s.10434.20231128_231200_TAI.magnetogram.fits,1,-0.7691648765618812,-0.45219703219317864,-0.8160495895289677,-0.38343201401462623,-0.5126178165334211,-0.7462601846943414,-0.7995445173363496,2.1590650903796775,-2.1486813627381376,2.214299532920784
N,13501,hmi.sharp_cea_720s.10434.20231128_234800_TAI.magnetogram.fits,1,-0.7615095690816192,-0.4528915613723982,-0.8044867701443477,-0.37954107414342797,-0.4733264437631819,-0.744467523452071,-0.8014946288125925,2.0107349525299667,-2.1486813627381376,2.2639930637349504
N,13501,hmi.sharp_cea_720s.10434.20231129_002400_TAI.magnetogram.fits,1,-0.7629050211311704,-0.4506806319668712,-0.8044152787574621,-0.36611205859671986,-0.451392168991948,-0.7433114773162203,-0.7965652477803676,2.0013433026155645,-0.7540261443561898,2.138206305146797
N,13501,hmi.sharp_cea_720s.10434.20231129_010000_TAI.magnetogram.fits,1,-0.7631685831582672,-0.4520996313520278,-0.8097356730425274,-0.3576893026482831,-0.4410101322670166,-0.7435097992633057,-0.7965293999430223,2.200088319497589,-2.1486813627381376,2.0760379782113896
N,13501,hmi.sharp_cea_720s.10434.20231129_014800_TAI.magnetogram.fits,1,-0.7578908067873401,-0.44806494415685066,-0.8067836377440594,-0.3708099679051569,-0.4612536169031523,-0.7450042062915727,-0.8001361098446869,2.3444258979274464,-2.1486813627381376,2.1232142733907287
N,13501,hmi.sharp_cea_720s.10434.20231129_022400_TAI.magnetogram.fits,1,-0.7591971411803465,-0.4508115346785322,-0.7987729291163312,-0.37868599369938,-0.4644091908693933,-0.744880622182013,-0.7990381034518336,2.1635165160716365,-2.1486813627381376,2.0960798316708185
N,13501,hmi.sharp_cea_720s.10434.20231129_030000_TAI.magnetogram.fits,1,-0.7612852102667662,-0.4523068523569027,-0.804984545640878,-0.3688644204171336,-0.43011144173742194,-0.7453122556140369,-0.7994084050493315,2.1242197368566678,-0.7733695302213606,2.2554976491013985
N,13501,hmi.sharp_cea_720s.10434.20231129_033600_TAI.magnetogram.fits,1,-0.7604609974631051,-0.45309895617691937,-0.8062492859558449,-0.3717594346469664,-0.47213514603553497,-0.7500331400905047,-0.7955811593314123,2.296883517957589,-2.1486813627381376,2.248766518005389
N,13501,hmi.sharp_cea_720s.10434.20231129_041200_TAI.magnetogram.fits,1,-0.7638728876481915,-0.4547378781632908,-0.8141630549108554,-0.38204319446542273,-0.47196534494290604,-0.7525012390713975,-0.79645376319365,2.353713853946749,-0.1892833713160374,2.394992524708387
N,13501,hmi.sharp_cea_720s.10434.20231129_044800_TAI.magnetogram.fits,1,-0.7676260280861307,-0.4572143693304032,-0.8109928057680293,-0.3763446712031931,-0.44282226242090245,-0.7536937526967166,-0.7947606569955179,2.2561730096724584,-2.1486813627381376,2.322014393849413
N,13501,hmi.sharp_cea_720s.10434.20231129_052400_TAI.magnetogram.fits,1,-0.7685367672970742,-0.45138569157264724,-0.8134828960493002,-0.3834963784548144,-0.4528256838732326,-0.752166923068818,-0.7933990261975562,2.3881731526039487,-0.6154943102204861,2.2778342777520604
