Class,noaaID,zero,one
N,13284,0.7878872156143188,0.2121128588914871
N,13286,0.2109198272228241,0.7890802025794983
N,13287,0.8277866244316101,0.1722134500741958
N,13298,0.8279758095741272,0.1720242351293563
N,13301,0.4623043537139892,0.5376957058906555
N,13303,0.7738768458366394,0.2261231541633606
N,13307,0.8377525806427002,0.1622473895549774
N,13345,0.7256007790565491,0.2743992209434509
N,13349,0.7439703941345215,0.2560296952724457
N,13356,0.6574463248252869,0.3425536453723907
N,13362,0.8011479377746582,0.1988520920276641
N,13371,0.7267677187919617,0.2732323110103607
N,13393,0.4454220831394195,0.5545779466629028
N,13412,0.7801632285118103,0.2198368161916732
N,13414,0.8445751070976257,0.1554249227046966
N,13420,0.6576251983642578,0.3423747420310974
N,13439,0.6166045665740967,0.3833954930305481
N,13440,0.6061029434204102,0.3938970863819122
N,13446,0.6979972124099731,0.3020027577877044
N,13461,0.7563257217407227,0.2436742633581161
N,13470,0.7050061225891113,0.2949938774108886
N,13488,0.8273265361785889,0.1726734936237335
N,13496,0.7649631500244141,0.2350368648767471
N,13497,0.0544682219624519,0.9455318450927734
N,13501,0.7867786288261414,0.213221475481987
N,13505,0.5818149447441101,0.4181850552558899
N,13512,0.8107000589370728,0.1892998814582824
N,13515,0.7427757382392883,0.2572242617607116
N,13522,0.7840258479118347,0.21597421169281
N,13525,0.8070129752159119,0.1929870545864105
N,13544,0.6734663844108582,0.3265336155891418
N,13550,0.7699832916259766,0.2300167083740234
N,13557,0.6123395562171936,0.3876604735851288
N,13563,0.8296279311180115,0.1703720539808273
N,13570,0.6637444496154785,0.3362555503845215
N,13572,0.826636791229248,0.1733632236719131
N,13577,0.7157281041145325,0.2842718958854675
N,13578,0.0520049631595611,0.9479950070381165
N,13579,0.0768131241202354,0.9231869578361512
N,13581,0.7794104814529419,0.2205895632505417
N,13585,0.4082576334476471,0.5917423963546753
N,13597,0.7112330794334412,0.2887669205665588
N,13609,0.8281648755073547,0.1718351244926452
N,13610,0.784511923789978,0.2154880613088607
N,13611,0.8213035464286804,0.1786964982748031
N,13622,0.8290638327598572,0.170936182141304
N,13624,0.8280612230300903,0.1719387471675872
N,13627,0.8162030577659607,0.1837968975305557
N,13640,0.3352651596069336,0.6647347807884216
N,13653,0.7938742637634277,0.2061257809400558
N,13659,0.8156774044036865,0.184322640299797
