NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11534,2012.07.27_18:48:00_TAI,1.0,C,-0.704427704,-0.617247714,-0.729839352,-0.463329744,-0.518782154,-0.475416748,-0.882158378,-1.348163086,-2.148774202,-1.585299514
11534,2012.07.27_19:24:00_TAI,1.0,C,-0.719060614,-0.618935157,-0.746540789,-0.479921866,-0.544342942,-0.488113293,-0.883806886,-1.353057595,-2.148774202,-1.608539649
11534,2012.07.27_20:00:00_TAI,1.0,C,-0.713537526,-0.618453031,-0.745190227,-0.465032639,-0.567389978,-0.496770027,-0.884715242,-1.342888473,-2.148774202,-1.570797669
11534,2012.07.27_20:36:00_TAI,1.0,C,-0.704811445,-0.61700665,-0.737183978,-0.469108482,-0.590919245,-0.49907849,-0.878799009,-1.328904238,-0.731073153,-1.572223064
11534,2012.07.27_21:12:00_TAI,1.0,C,-0.69664995,-0.615078143,-0.735295089,-0.456540375,-0.523807678,-0.501386952,-0.875470181,-1.307483153,-0.709125193,-1.56912438
11534,2012.07.27_21:48:00_TAI,1.0,C,-0.681020193,-0.610980066,-0.725121872,-0.416899935,-0.509544903,-0.492730218,-0.871286241,-1.274719736,-0.379219917,-1.564290432
11534,2012.07.27_22:24:00_TAI,1.0,C,-0.648195572,-0.605676672,-0.691612395,-0.384767043,-0.45595616,-0.458103279,-0.850104559,-1.255482744,-0.207065605,-1.567079248
11534,2012.07.27_23:00:00_TAI,1.0,C,-0.641591098,-0.602060721,-0.679261208,-0.424259404,-0.491793997,-0.432710191,-0.846700091,-1.252583274,-0.320920648,-1.531444374
11534,2012.07.27_23:36:00_TAI,1.0,C,-0.634895466,-0.59989115,-0.681283256,-0.419272883,-0.510524236,-0.424053456,-0.837158128,-1.241777433,-0.306517299,-1.53875727
11534,2012.07.28_00:12:00_TAI,1.0,C,-0.633914793,-0.601337531,-0.678242596,-0.437845547,-0.491774173,-0.410779796,-0.843310445,-1.262941307,-0.312690163,-1.566335563
11534,2012.07.28_00:48:00_TAI,1.0,C,-0.6239478,-0.598203707,-0.664991161,-0.427420866,-0.50033045,-0.395774789,-0.837860421,-1.256715464,-0.37784817,-1.538199506
11534,2012.07.28_01:24:00_TAI,1.0,C,-0.625528345,-0.598203707,-0.670241279,-0.425680952,-0.493662462,-0.390580748,-0.837971268,-1.256556534,-0.456723652,-1.577118986
11534,2012.07.28_02:00:00_TAI,1.0,C,-0.63036996,-0.597480517,-0.672531922,-0.439992675,-0.53363471,-0.397506136,-0.846131199,-1.245407413,-2.148774202,-1.566149642
11534,2012.07.28_02:36:00_TAI,1.0,C,-0.627321345,-0.596516263,-0.671319072,-0.438967236,-0.537416243,-0.40500864,-0.840067986,-1.235973742,-0.550688356,-1.534667006
11534,2012.07.28_03:12:00_TAI,1.0,C,-0.633906706,-0.59699839,-0.678726674,-0.457562112,-0.593774575,-0.415396721,-0.835978686,-1.228795029,-0.470441127,-1.560262141
11534,2012.07.28_03:48:00_TAI,1.0,C,-0.620141258,-0.596757326,-0.668800807,-0.431903923,-0.560054893,-0.419436531,-0.832046379,-1.221375664,-0.574008063,-1.587158725
11534,2012.07.28_04:24:00_TAI,1.0,C,-0.623913248,-0.5962752,-0.673862756,-0.412768564,-0.474087697,-0.434441538,-0.837490501,-1.206606066,-0.35590021,-1.579164118
11534,2012.07.28_05:00:00_TAI,1.0,C,-0.623403063,-0.596757326,-0.662522214,-0.416007766,-0.472070549,-0.451177891,-0.823924542,-1.204310246,-0.276338854,-1.538013585
11534,2012.07.28_05:36:00_TAI,1.0,C,-0.639094571,-0.602542848,-0.684746156,-0.444261019,-0.544538214,-0.469645592,-0.838778225,-1.227357529,-0.180316529,-1.597012542
11534,2012.07.28_06:12:00_TAI,1.0,C,-0.652774743,-0.604230291,-0.694085895,-0.456425614,-0.555383236,-0.47657098,-0.833334235,-1.242789694,-0.419686469,-1.578730302
11534,2012.07.28_06:48:00_TAI,1.0,C,-0.653400345,-0.605194545,-0.689611212,-0.452383089,-0.592034475,-0.469068476,-0.828930553,-1.261507133,-2.148774202,-1.58003175
11534,2012.07.28_07:24:00_TAI,1.0,C,-0.64403543,-0.603266038,-0.6777699,-0.447859311,-0.572403508,-0.45002366,-0.820694266,-1.268123293,-0.281139971,-1.594223726
