NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11663,2013.01.29_22:48:00_TAI,1.0,C,-0.703204435,-0.44930582,-0.723791745,-0.360589633,-0.56179542,-0.688504687,-0.676961031,0.827848584,-0.213238469,1.498697417
11663,2013.01.29_23:24:00_TAI,1.0,C,-0.701851782,-0.446477163,-0.725093898,-0.375860161,-0.508013488,-0.693031628,-0.678637666,1.031967234,-0.288684582,1.560423216
11663,2013.01.30_00:00:00_TAI,1.0,C,-0.699595645,-0.441921437,-0.717492666,-0.330503917,-0.567601576,-0.695106725,-0.684625258,1.104887539,-0.301030309,1.620041909
11663,2013.01.30_00:36:00_TAI,1.0,C,-0.707315323,-0.438761333,-0.726128292,-0.349024753,-0.585913853,-0.701103248,-0.682857879,1.260945781,-0.078807213,1.661688232
11663,2013.01.30_01:12:00_TAI,1.0,C,-0.699905873,-0.440577886,-0.714486567,-0.359486453,-0.557645844,-0.701344427,-0.687804278,1.246171669,-0.712554562,1.728062058
11663,2013.01.30_01:48:00_TAI,1.0,C,-0.705818584,-0.436977566,-0.723246285,-0.344001212,-0.596736285,-0.700959833,-0.689003086,1.315939498,-0.733130774,1.637704412
11663,2013.01.30_02:24:00_TAI,1.0,C,-0.703697712,-0.436997358,-0.723762571,-0.361748342,-0.625487845,-0.701214921,-0.690527762,1.344751274,-0.732444901,1.620475725
11663,2013.01.30_03:00:00_TAI,1.0,C,-0.712093717,-0.4377925,-0.73242885,-0.337752327,-0.602438114,-0.705776604,-0.689233193,1.457598979,-0.559604715,1.690753894
11663,2013.01.30_03:36:00_TAI,1.0,C,-0.711510017,-0.435602363,-0.734143115,-0.356695186,-0.622373854,-0.701266342,-0.695826507,1.335647817,-0.651511798,1.703458502
11663,2013.01.30_04:12:00_TAI,1.0,C,-0.713097179,-0.436589758,-0.720142573,-0.398545687,-0.543357991,-0.70148184,-0.69490544,1.196791592,-2.148774202,1.812532203
