"20230610","gev_20230610_0656","2023/06/10 06:56:00","07:22:00","07:05:00","C1.2","S17E02","13327","20230610"
"20230610","gev_20230610_1051","2023/06/10 10:51:00","11:01:00","10:57:00","C1.0","S06W59","13323","20230610"
"20230610","gev_20230610_1529","2023/06/10 15:29:00","15:42:00","15:34:00","C1.3","S13W12","13327","20230610"
"20230610","gev_20230610_1815","2023/06/10 18:15:00","18:25:00","18:22:00","C1.2","N11E10","N11E10","20230610"
"20230610","gev_20230610_1825","2023/06/10 18:25:00","18:57:00","18:51:00","C4.6","S12W14","13327","20230610"
"20230610","gev_20230610_2059","2023/06/10 20:59:00","21:11:00","21:06:00","C3.8","S06W65","13323","20230610"
"20230610","gev_20230610_2110","2023/06/10 21:10:00","21:25:00","21:16:00","C5.7","S05W62","13323","20230610"
"20230611","gev_20230611_0155","2023/06/11 01:55:00","02:07:00","02:02:00","C2.8","S06W67","13323","20230611"
"20230611","gev_20230611_0441","2023/06/11 04:41:00","05:00:00","04:50:00","C1.7","S06W69","13323","20230611"
"20230611","gev_20230611_0530","2023/06/11 05:30:00","05:46:00","05:39:00","C1.8","S13W21","13327","20230611"
"20230611","gev_20230611_0621","2023/06/11 06:21:00","06:37:00","06:31:00","C3.3","S06W70","13323","20230611"
"20230611","gev_20230611_0805","2023/06/11 08:05:00","08:29:00","08:15:00","C1.3","S22E18","13331","20230611"
"20230612","gev_20230612_0250","2023/06/12 02:50:00","03:06:00","02:57:00","C1.4","S22E07","13331","20230612"
"20230612","gev_20230612_0306","2023/06/12 03:06:00","03:22:00","03:15:00","C1.8","S06W85","13323","20230612"
"20230612","gev_20230612_0503","2023/06/12 05:03:00","05:35:00","05:15:00","C1.4","S16W89","13321","20230612"
"20230612","gev_20230612_0535","2023/06/12 05:35:00","06:00:00","05:44:00","C1.3","S07W87","13323","20230612"
"20230612","gev_20230612_0649","2023/06/12 06:49:00","07:02:00","06:58:00","C5.2","N18W43","13330","20230612"
"20230612","gev_20230612_0847","2023/06/12 08:47:00","09:02:00","08:55:00","C2.6","S07W89","13323","20230612"
"20230612","gev_20230612_0921","2023/06/12 09:21:00","09:53:00","09:35:00","C1.4","S22E12","13331","20230612"
"20230612","gev_20230612_0953","2023/06/12 09:53:00","10:28:22","10:04:00","C3.7","N18E89","N18E89","20230612"
"20230612","gev_20230612_1019","2023/06/12 10:19:00","10:27:00","10:23:00","C2.9","S07W89","13323","20230612"
"20230612","gev_20230612_1309","2023/06/12 13:09:00","13:25:00","13:19:00","C2.7","S07W89","13323","20230612"
"20230612","gev_20230612_1402","2023/06/12 14:02:00","14:58:00","14:33:00","C1.9","S12W89","13321","20230612"
"20230612","gev_20230612_1455","2023/06/12 14:55:00","15:22:00","15:08:00","C2.2","N18E89","N18E89","20230612"
"20230612","gev_20230612_1700","2023/06/12 17:00:00","17:22:00","17:15:00","C1.7","S20W35","13327","20230612"
"20230612","gev_20230612_1722","2023/06/12 17:22:00","17:30:00","17:25:00","C1.7","N23W32","13329","20230612"
"20230612","gev_20230612_1733","2023/06/12 17:33:00","17:56:00","17:38:00","C2.0","S20W36","13327","20230612"
"20230612","gev_20230612_1819","2023/06/12 18:19:00","18:43:00","18:27:00","C1.3","S07W89","13323","20230612"
"20230612","gev_20230612_2019","2023/06/12 20:19:00","20:33:00","20:26:00","C3.3","S22E05","13331","20230612"
"20230612","gev_20230612_2136","2023/06/12 21:36:00","21:53:00","21:44:00","C2.2","N18E89","N18E89","20230612"
"20230612","gev_20230612_2136","2023/06/12 21:36:00","21:53:00","21:44:00","C2.2","N18E89","N18E89","20230612"
"20230612","gev_20230612_2308","2023/06/12 23:08:00","23:16:00","23:13:00","C2.0","N18E89","N18E89","20230612"
"20230612","gev_20230612_2316","2023/06/12 23:16:00","23:38:00","23:27:00","C5.1","S17W35","13327","20230612"
"20230613","gev_20230613_0118","2023/06/13 01:18:00","01:29:00","01:23:00","C1.2","S16W36","13327","20230613"
"20230613","gev_20230613_0157","2023/06/13 01:57:00","02:07:00","02:03:00","C1.2","S21E89","S21E89","20230613"
"20230613","gev_20230613_0211","2023/06/13 02:11:00","02:20:00","02:16:00","C1.4","N24W36","13329","20230613"
"20230613","gev_20230613_0222","2023/06/13 02:22:00","02:39:00","02:25:00","C1.3","N25W35","13329","20230613"
"20230613","gev_20230613_0557","2023/06/13 05:57:00","06:12:00","06:01:00","C1.4","S20W43","13327","20230613"
"20230613","gev_20230613_0759","2023/06/13 07:59:00","08:40:00","08:19:00","C2.1","N18E89","N18E89","20230613"
"20230613","gev_20230613_0918","2023/06/13 09:18:00","10:16:00","09:54:00","C1.9","S10W36","13327","20230613"
"20230613","gev_20230613_1016","2023/06/13 10:16:00","10:45:00","10:26:00","C2.2","N18E89","N18E89","20230613"
"20230613","gev_20230613_1053","2023/06/13 10:53:00","11:13:00","11:03:00","C1.7","S20E89","S20E89","20230613"
"20230613","gev_20230613_1157","2023/06/13 11:57:00","12:20:00","12:07:00","C4.9","S20E89","S20E89","20230613"
"20230613","gev_20230613_1241","2023/06/13 12:41:00","12:50:00","12:45:00","C2.1","S11E57","S11E57","20230613"
"20230613","gev_20230613_1423","2023/06/13 14:23:00","14:39:00","14:34:00","C2.0","S20E89","S20E89","20230613"
