noaaID,MPlus,zero,one,Class,y_true
13284.0,0.15,0.933745503425598,0.0662544816732406,N,0
13287.0,0.1092,0.9451841115951538,0.0548158884048461,N,0
13298.0,0.0044,0.9481709599494934,0.0518289878964424,N,0
13301.0,0.2088,0.6372512578964233,0.3627488315105438,N,0
13303.0,0.0868,0.9293753504753112,0.0706246271729469,N,0
13307.0,0.0034,0.948932647705078,0.0510673411190509,N,0
13345.0,0.0098,0.911072313785553,0.0889276713132858,N,0
13349.0,0.0033,0.9229028820991516,0.0770970433950424,N,0
13356.0,0.0059,0.8612726926803589,0.1387273222208023,N,0
13362.0,0.1351,0.9326217770576476,0.0673782378435134,N,0
13412.0,0.0812,0.920325517654419,0.0796744674444198,N,0
13414.0,0.0361,0.9258102178573608,0.0741898417472839,N,0
13420.0,0.0034,0.8791218996047974,0.1208781227469444,N,0
13439.0,0.0016,0.8609756231307983,0.1390243917703628,N,0
13440.0,0.0099,0.8459871411323547,0.1540128886699676,N,0
13446.0,0.0217,0.904701054096222,0.0952989608049392,N,0
13501.0,0.0281,0.921532154083252,0.078467845916748,N,0
13505.0,0.0013,0.8031126856803894,0.1968873590230941,N,0
13512.0,0.1522,0.9427221417427064,0.0572778694331646,N,0
13522.0,0.0177,0.9334968328475952,0.0665031224489212,N,0
13525.0,0.0034,0.936519205570221,0.0634807795286178,N,0
13544.0,0.0082,0.8861674070358276,0.1138326078653335,N,0
13563.0,0.0034,0.9483150243759156,0.0516849532723426,N,0
13570.0,0.032,0.8885233402252197,0.1114766746759414,N,0
13572.0,0.0033,0.9466684460639954,0.0533314980566501,N,0
13577.0,0.0033,0.9046069979667664,0.0953929796814918,N,0
13581.0,0.0289,0.9186949729919434,0.0813050791621208,N,0
13585.0,0.0701,0.6847805380821228,0.3152194917201996,N,0
13610.0,0.0053,0.9363183975219728,0.0636815130710601,N,0
13611.0,0.0032,0.9439437985420228,0.0560561716556549,N,0
13622.0,0.0617,0.9357221722602844,0.0642778128385543,N,0
13624.0,0.0041,0.9464449882507324,0.0535549372434616,N,0
13627.0,0.1516,0.9416571259498596,0.0583429299294948,N,0
13653.0,0.0356,0.9388229250907898,0.0611770898103714,N,0
13659.0,0.0028,0.94390606880188,0.056093979626894,N,0
13660.0,0.0332,0.9334273338317872,0.066572681069374,N,0
13665.0,0.1353,0.9266878366470336,0.0733121261000633,N,0
13666.0,0.0036,0.8329441547393799,0.1670558452606201,N,0
13667.0,0.0038,0.8435525298118591,0.1564475744962692,N,0
13678.0,0.0084,0.9436862468719482,0.0563137903809547,N,0
13689.0,0.1254,0.8733587861061096,0.1266412585973739,N,0
13693.0,0.0525,0.8505706787109375,0.1494293361902237,N,0
13696.0,0.0809,0.9399694800376892,0.0600304901599884,N,0
13704.0,0.0533,0.9155550003051758,0.0844449549913406,N,0
13706.0,0.0739,0.9311860799789428,0.0688139870762825,N,0
