,Threshold,Metric,Class 1 Mean_Std,Class 2 Mean_Std
0,Threshold 0.55,Accuracy,0.957_0.014,0.957_0.014
1,Threshold 0.55,Recall,0.947_0.017,1.0_0.0
2,Threshold 0.55,Precision,1.0_0.0,0.82_0.059
3,Threshold 0.55,TSS,0.947_0.017,0.947_0.017
4,Threshold 0.55,BSS,0.13_0.021,0.156_0.137
5,Threshold 0.55,HSS,0.873_0.042,0.873_0.042
6,Threshold 0.55,FAR,0.0_0.0,0.18_0.059
7,Threshold 0.55,FPR,0.0_0.0,0.052_0.017
