Threshold,TSS,TSSstd
0.05,0.005,0.017
0.1,0.052,0.085
0.15000000000000002,0.205,0.225
0.2,0.294,0.311
0.25,0.452,0.277
0.3,0.57,0.269
0.35000000000000003,0.786,0.142
0.4,0.916,0.068
0.45,0.889,0.093
0.5,0.889,0.093
0.55,0.776,0.15
0.6000000000000001,0.719,0.175
0.6500000000000001,0.6,0.2
0.7000000000000001,0.525,0.207
0.7500000000000001,0.425,0.195
0.8,0.35,0.2
0.8500000000000001,0.2,0.15
0.9000000000000001,0.075,0.114
0.9500000000000001,0.025,0.075
