,Threshold,Metric,Class 1 Mean_Std,Class 2 Mean_Std
0,Threshold 0.4,Accuracy,0.947_0.033,0.947_0.033
1,Threshold 0.4,Recall,0.941_0.045,0.975_0.075
2,Threshold 0.4,Precision,0.994_0.016,0.82_0.13
3,Threshold 0.4,TSS,0.916_0.068,0.916_0.068
4,Threshold 0.4,BSS,0.087_0.022,0.431_0.145
5,Threshold 0.4,HSS,0.848_0.09,0.848_0.09
6,Threshold 0.4,FAR,0.005_0.016,0.18_0.13
7,Threshold 0.4,FPR,0.025_0.075,0.058_0.045
