,Threshold,Metric,Class 1 Mean_Std,Class 2 Mean_Std
0,Threshold 0.05,Accuracy,0.952_0.0,0.952_0.0
1,Threshold 0.05,Recall,1.0_0.0,0.75_0.0
2,Threshold 0.05,Precision,0.944_0.0,1.0_0.0
3,Threshold 0.05,TSS,0.75_0.0,0.75_0.0
4,Threshold 0.05,BSS,0.131_0.0,0.146_0.0
5,Threshold 0.05,HSS,0.829_0.0,0.829_0.0
6,Threshold 0.05,FAR,0.055_0.0,0.0_0.0
7,Threshold 0.05,FPR,0.25_0.0,0.0_0.0
