Threshold,TSS
0.05,0.306
0.1,0.255
0.15000000000000002,0.251
0.2,0.211
0.25,0.189
0.3,0.175
0.35000000000000003,0.175
0.4,0.175
0.45,0.175
0.5,0.175
0.55,0.175
0.6000000000000001,0.177
0.6500000000000001,0.178
0.7000000000000001,0.114
0.7500000000000001,0.095
0.8,0.1
0.8500000000000001,0.078
0.9000000000000001,0.079
0.9500000000000001,0.082
