Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.05,Accuracy,0.88,0.88
0.05,Recall,0.937,0.7
0.05,Precision,0.909,0.777
0.05,BSS,0.173,0.045
0.05,HSS,0.66,0.66
0.05,FAR,0.09,0.222
0.05,FPR,0.3,0.062
