Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.5,Accuracy,0.857,0.857
0.5,Recall,0.843,0.9
0.5,Precision,0.964,0.642
0.5,BSS,0.155,0.142
0.5,HSS,0.653,0.653
0.5,FAR,0.035,0.357
0.5,FPR,0.1,0.156
