CLASS,noaaID,FITS文件,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
M,13674,hmi.sharp_cea_720s.11192.20240513_130000_TAI.magnetogram.fits,3.0777579238304544,0.9824636909896073,3.332009029376504,-0.32621886536745875,-0.12135165036403606,3.923436763748751,3.411440809814986,-0.6330560020636329,0.9581239338491699,-0.6456830769865404
M,13674,hmi.sharp_cea_720s.11192.20240513_134800_TAI.magnetogram.fits,3.113100806864789,1.0073415049357963,3.36650508880833,-0.2911346313357041,0.0397394582918828,3.898594243812081,3.4560611778583636,-0.6148620826557711,0.9148419650148313,-0.6356514539110131
M,13674,hmi.sharp_cea_720s.11192.20240513_141200_TAI.magnetogram.fits,3.147450870203037,1.0289214983152264,3.384471503493309,-0.17832871217322332,0.13417480216189137,3.8916267782359064,3.479138030050311,-0.6036191581942568,0.9405176018282592,-0.6187952647418984
M,13674,hmi.sharp_cea_720s.11192.20240513_143600_TAI.magnetogram.fits,3.113757308135343,1.0453459794996844,3.361557917460394,0.00492032946206349,0.01126981242811738,3.8750907445763643,3.480425460138028,-0.5928148102097035,0.98413314519047,-0.6048571205133988
M,13674,hmi.sharp_cea_720s.11192.20240513_154800_TAI.magnetogram.fits,3.0622675680593963,1.0563940035796342,3.3136044214836424,0.26452628866558053,-0.17274198955577377,3.9392242763761818,3.5486431271531376,-0.61571522328686,0.9877138675146742,-0.6395783018393424
M,13674,hmi.sharp_cea_720s.11192.20240513_160000_TAI.magnetogram.fits,3.037273958153299,1.0595636342519568,3.252744312732935,0.26075976916561205,-0.07497469608908153,3.9406022801429756,3.5600226991445036,-0.611816693918686,0.9904321943727992,-0.6675430551494577
M,13674,hmi.sharp_cea_720s.11192.20240513_171200_TAI.magnetogram.fits,3.0299103334517032,1.0600734361020183,3.2298542846588196,0.08303759081502551,-0.22398931545210157,3.983057868616305,3.586926224863219,-0.6296420379494011,0.9700892165685846,-0.7256408027843244
M,13674,hmi.sharp_cea_720s.11192.20240513_173600_TAI.magnetogram.fits,3.033352556322835,1.0665514816468604,3.240577859917338,-0.05236020206189152,0.11204436669323155,3.9651505890241805,3.611645624047809,-0.6281913472912929,0.9933048844091387,-0.7122207992146107
M,13691,hmi.sharp_cea_720s.11275.20240528_201200_TAI.magnetogram.fits,2.598176163070521,1.6423273544196402,2.738587468996165,0.3297615185685927,-0.24450223521388847,2.997049223551754,2.62589028216975,0.10171993872785512,1.222093383916647,-0.008650861250442976
M,13691,hmi.sharp_cea_720s.11275.20240528_211200_TAI.magnetogram.fits,2.4431208059350737,1.6333897546157934,2.6748903560698705,0.09200584940531858,-0.36176520003124074,3.0522836976186816,2.6059075505323657,0.01920416643640738,1.1928259140868427,-0.006841307257417626
M,13691,hmi.sharp_cea_720s.11275.20240528_212400_TAI.magnetogram.fits,2.4224305075698673,1.6215413313382585,2.638695942311985,0.07194387014577135,-0.2976788772216842,3.0446802511683497,2.5956576049830242,0.015262078505563376,1.1724512159423235,-0.009095063263868112
M,13691,hmi.sharp_cea_720s.11275.20240528_214800_TAI.magnetogram.fits,2.3621665181513474,1.6082486137159533,2.6076170160170093,0.06957783267293943,-0.31726078672438457,3.0441159979811423,2.5664556010085433,-0.013104017214307104,1.1785350743360241,-0.02489535701662892
M,13691,hmi.sharp_cea_720s.11275.20240528_224800_TAI.magnetogram.fits,2.3328107294019684,1.5831950186628976,2.5959721614466815,0.1386298523347141,-0.17770184744624087,3.031810657087867,2.5453957287998574,-0.0479999301226411,1.1794524128607378,-0.03605468851852101
M,13691,hmi.sharp_cea_720s.11275.20240528_231200_TAI.magnetogram.fits,2.345952906118101,1.585686707777441,2.614023225454149,0.1765560491854139,-0.22351984805587505,3.025271249235707,2.523567686882582,-0.0457539203547892,1.190997450794889,-0.028430189448387006
M,13691,hmi.sharp_cea_720s.11275.20240528_232400_TAI.magnetogram.fits,2.3681051615883937,1.5833357144181497,2.6387630881848927,0.15772035329038692,-0.17374432259753214,3.013316779018982,2.513204304128775,-0.03629638858946397,1.1791521909847364,-0.021534758514492828
M,13691,hmi.sharp_cea_720s.11275.20240529_002400_TAI.magnetogram.fits,2.3722896652694905,1.566142968891646,2.59181899194265,0.22473101175755553,-0.07617673728354027,2.9525934258006368,2.5099409361055174,-0.0034837442352894667,1.1631506201282713,0.014870737840089293
M,13691,hmi.sharp_cea_720s.11275.20240529_004800_TAI.magnetogram.fits,2.3839828080470706,1.5641694196712195,2.617474709205642,0.0856833389671458,-0.03971388669346965,2.9292435273466277,2.51952951272206,0.005665587418500683,1.1507065557361338,0.03076311560352993
M,13691,hmi.sharp_cea_720s.11275.20240529_021200_TAI.magnetogram.fits,2.4353128169025324,1.5567943992141176,2.690444936522643,-0.010834402960065832,-0.23338039993478876,2.9297019924391003,2.5555071867891987,-0.0022768185636148548,1.1537283759518435,0.042203644493172134
M,13691,hmi.sharp_cea_720s.11275.20240529_022400_TAI.magnetogram.fits,2.4292571592647545,1.5470826292550028,2.6867328281519143,0.008691143034211733,-0.4546656039135475,2.918517090070343,2.5679542227715104,-0.0034974323045576946,1.1616112611616953,0.03110932768648415
M,13691,hmi.sharp_cea_720s.11275.20240529_024800_TAI.magnetogram.fits,2.4522202588978335,1.5541277967856704,2.701544346578939,0.07614899210103827,-0.24240706788664787,2.9303057480816266,2.5708090735019473,0.0010335609320164662,1.1698224947590274,0.0230772643760685
M,13691,hmi.sharp_cea_720s.11275.20240529_034800_TAI.magnetogram.fits,2.4137190730498377,1.5317628653866182,2.640957574640695,0.17297694742716,-0.2801819228551955,2.8970857932650973,2.5398592171181935,-0.005428516705043519,1.1508883870144393,0.0004944276588955416
M,13691,hmi.sharp_cea_720s.11275.20240529_041200_TAI.magnetogram.fits,2.3893177087836506,1.527546358209764,2.6344065729054122,0.1626291033937432,-0.37687272570503366,2.8896479050964614,2.5555292093513904,-0.023094195893066174,1.1681954847764302,0.011775738404492146
M,13691,hmi.sharp_cea_720s.11275.20240529_042400_TAI.magnetogram.fits,2.3689052290946737,1.5261619897901846,2.6272763943904542,0.12656267290588197,-0.31270434655785495,2.8844893576532264,2.5579302741889465,-0.025659770528332827,1.1597827978697417,0.01590595324139241
