T_REC,_modelTyp,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,one,Class,noaaID,predictday
20230507,LLM_VIT,BSS,13299,0.311,0.137,0.288,0.309,0.255,0.126,0.252,0.352,0.303,0.244,13299,0.257,N,13299.0,20230508
20230508,LLM_VIT,BSS,"13293,13296",0.918,0.791,0.938,0.878,0.637,0.897,0.794,0.933,0.919,0.956,13293,0.866,M,13296.0,20230509
20230508,LLM_VIT,BSS,13294,0.235,0.117,0.178,0.269,0.283,0.054,0.239,0.184,0.204,0.189,13294,0.195,N,13294.0,20230509
20230508,LLM_VIT,BSS,13297,0.663,0.526,0.64,0.643,0.51,0.419,0.63,0.614,0.575,0.743,13297,0.596,N,13297.0,20230509
20230508,LLM_VIT,BSS,13299,0.233,0.103,0.216,0.238,0.237,0.089,0.206,0.26,0.231,0.178,13299,0.199,C,13299.0,20230509
20230510,LLM_VIT,BSS,"13293,13296",0.989,0.967,0.995,0.978,0.814,0.995,0.956,0.996,0.993,0.997,13293,0.968,C,13296.0,20230511
20230510,LLM_VIT,BSS,13294,0.333,0.162,0.271,0.348,0.292,0.096,0.284,0.303,0.293,0.281,13294,0.266,M,13294.0,20230511
20230510,LLM_VIT,BSS,13297,0.706,0.543,0.695,0.678,0.51,0.505,0.646,0.707,0.662,0.8,13297,0.645,N,13297.0,20230511
20230516,LLM_VIT,BSS,"13301,13302,13305",0.398,0.295,0.354,0.416,0.413,0.171,0.437,0.349,0.331,0.463,13302,0.362,C,13305.0,20230517
20230516,LLM_VIT,BSS,13304,0.192,0.089,0.208,0.203,0.23,0.088,0.185,0.233,0.2,0.158,13304,0.178,N,13304.0,20230517
20230517,LLM_VIT,BSS,"13301,13302,13305",0.432,0.315,0.406,0.456,0.422,0.211,0.465,0.414,0.385,0.529,13302,0.403,N,13305.0,20230518
20230517,LLM_VIT,BSS,13307,0.142,0.063,0.139,0.141,0.194,0.051,0.137,0.161,0.138,0.093,13307,0.125,N,13307.0,20230518
20230518,LLM_VIT,BSS,"13301,13302,13305",0.478,0.377,0.463,0.52,0.437,0.275,0.514,0.497,0.439,0.558,13305,0.455,N,13305.0,20230519
20230518,LLM_VIT,BSS,13307,0.162,0.069,0.143,0.153,0.206,0.053,0.149,0.176,0.151,0.108,13307,0.137,N,13307.0,20230519
20230518,LLM_VIT,BSS,13308,0.331,0.153,0.272,0.332,0.268,0.106,0.266,0.337,0.304,0.275,13308,0.264,N,13308.0,20230519
20230519,LLM_VIT,BSS,"13301,13302,13305,13308",0.566,0.549,0.598,0.655,0.528,0.451,0.664,0.633,0.531,0.744,13302,0.591,C,13305.0,20230520
20230519,LLM_VIT,BSS,13307,0.172,0.072,0.164,0.175,0.206,0.063,0.154,0.198,0.171,0.111,13307,0.148,N,13307.0,20230520
20230519,LLM_VIT,BSS,13310,0.7,0.674,0.792,0.784,0.572,0.727,0.777,0.824,0.699,0.873,13310,0.742,N,13310.0,20230520
20230520,LLM_VIT,BSS,"13310,13312",0.734,0.722,0.813,0.8,0.607,0.772,0.807,0.852,0.739,0.901,13310,0.774,N,13312.0,20230521
20230521,LLM_VIT,BSS,"13310,13312",0.648,0.639,0.712,0.716,0.571,0.618,0.746,0.736,0.613,0.824,13312,0.682,M,13312.0,20230522
