T_REC,_modelTyp,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,one,Class,noaaID,predictday
20230507,LLM_VIT,TSS,13299,0.376,0.296,0.381,0.326,0.361,0.376,0.32,0.462,0.385,0.33,13299,0.361,N,13299.0,20230508
20230508,LLM_VIT,TSS,"13293,13296",0.943,0.921,0.997,0.861,0.985,0.971,0.944,0.994,0.971,0.994,13293,0.958,M,13296.0,20230509
20230508,LLM_VIT,TSS,13294,0.296,0.275,0.164,0.273,0.279,0.184,0.269,0.185,0.267,0.232,13294,0.242,N,13294.0,20230509
20230508,LLM_VIT,TSS,13297,0.73,0.718,0.875,0.633,0.809,0.751,0.675,0.787,0.701,0.888,13297,0.756,N,13297.0,20230509
20230508,LLM_VIT,TSS,13299,0.29,0.209,0.257,0.258,0.279,0.273,0.254,0.327,0.297,0.234,13299,0.267,C,13299.0,20230509
20230510,LLM_VIT,TSS,"13293,13296",0.993,0.992,0.999,0.971,0.999,0.998,0.997,0.999,0.998,0.999,13293,0.994,C,13296.0,20230511
20230510,LLM_VIT,TSS,13294,0.402,0.37,0.317,0.351,0.353,0.315,0.338,0.353,0.375,0.362,13294,0.353,M,13294.0,20230511
20230510,LLM_VIT,TSS,13297,0.768,0.751,0.922,0.666,0.853,0.809,0.754,0.886,0.789,0.93,13297,0.812,N,13297.0,20230511
20230516,LLM_VIT,TSS,"13301,13302,13305",0.451,0.4,0.398,0.427,0.454,0.428,0.415,0.37,0.412,0.588,13302,0.434,C,13305.0,20230517
20230516,LLM_VIT,TSS,13304,0.246,0.166,0.255,0.226,0.251,0.261,0.237,0.295,0.26,0.219,13304,0.241,N,13304.0,20230517
20230517,LLM_VIT,TSS,"13301,13302,13305",0.489,0.437,0.504,0.465,0.524,0.497,0.479,0.478,0.482,0.677,13302,0.503,N,13305.0,20230518
20230517,LLM_VIT,TSS,13307,0.186,0.128,0.135,0.158,0.157,0.164,0.162,0.182,0.176,0.116,13307,0.156,N,13307.0,20230518
20230518,LLM_VIT,TSS,"13301,13302,13305",0.539,0.521,0.604,0.529,0.577,0.604,0.549,0.582,0.536,0.712,13305,0.575,N,13305.0,20230519
20230518,LLM_VIT,TSS,13307,0.211,0.143,0.141,0.171,0.183,0.178,0.18,0.198,0.195,0.134,13307,0.173,N,13307.0,20230519
20230518,LLM_VIT,TSS,13308,0.394,0.34,0.317,0.342,0.326,0.341,0.312,0.406,0.384,0.354,13308,0.351,N,13308.0,20230519
20230519,LLM_VIT,TSS,"13301,13302,13305,13308",0.627,0.655,0.783,0.662,0.706,0.775,0.696,0.722,0.628,0.877,13302,0.713,C,13305.0,20230520
20230519,LLM_VIT,TSS,13307,0.221,0.15,0.175,0.194,0.202,0.205,0.184,0.237,0.219,0.14,13307,0.192,N,13307.0,20230520
20230519,LLM_VIT,TSS,13310,0.773,0.813,0.968,0.776,0.895,0.921,0.832,0.928,0.8,0.959,13310,0.866,N,13310.0,20230520
20230520,LLM_VIT,TSS,"13310,13312",0.8,0.841,0.974,0.792,0.922,0.934,0.868,0.952,0.84,0.974,13310,0.889,N,13312.0,20230521
20230521,LLM_VIT,TSS,"13310,13312",0.72,0.757,0.925,0.712,0.857,0.868,0.763,0.861,0.722,0.934,13312,0.811,M,13312.0,20230522
20230522,LLM_VIT,TSS,"13310,13312",0.792,0.81,0.962,0.75,0.915,0.899,0.815,0.909,0.795,0.962,13312,0.86,C,13312.0,20230523
20230522,LLM_VIT,TSS,"13311,13313,13314",0.701,0.73,0.833,0.697,0.784,0.804,0.738,0.743,0.669,0.94,13313,0.763,M,13311.0,20230523
20230523,LLM_VIT,TSS,"13310,13312",0.618,0.644,0.788,0.604,0.761,0.722,0.635,0.621,0.565,0.881,13312,0.683,C,13312.0,20230524
20230523,LLM_VIT,TSS,"13311,13313,13314",0.838,0.826,0.971,0.783,0.928,0.901,0.847,0.921,0.859,0.976,13311,0.885,M,13311.0,20230524
20230524,LLM_VIT,TSS,"13310,13312",0.548,0.553,0.664,0.536,0.677,0.613,0.534,0.468,0.47,0.803,13312,0.586,M,13312.0,20230525
20230524,LLM_VIT,TSS,"13311,13313,13314",0.785,0.788,0.935,0.719,0.901,0.855,0.821,0.883,0.801,0.965,13311,0.845,C,13311.0,20230525
20230525,LLM_VIT,TSS,"13310,13312",0.564,0.565,0.689,0.541,0.696,0.628,0.557,0.493,0.501,0.82,13312,0.605,C,13310.0,20230526
20230525,LLM_VIT,TSS,"13311,13313,13314",0.742,0.729,0.906,0.679,0.863,0.811,0.764,0.829,0.756,0.943,13314,0.802,C,13314.0,20230526
20230525,LLM_VIT,TSS,13315,0.769,0.755,0.924,0.662,0.853,0.787,0.755,0.909,0.822,0.909,13315,0.814,M,13315.0,20230526
20230526,LLM_VIT,TSS,"13310,13312",0.587,0.58,0.762,0.57,0.72,0.675,0.593,0.597,0.557,0.843,13312,0.648,C,13312.0,20230527
20230526,LLM_VIT,TSS,"13311,13313,13314",0.617,0.605,0.768,0.594,0.735,0.698,0.646,0.669,0.623,0.856,13311,0.681,C,13314.0,20230527
20230526,LLM_VIT,TSS,13315,0.863,0.859,0.979,0.757,0.937,0.894,0.861,0.965,0.903,0.971,13315,0.898,C,13315.0,20230527
20230527,LLM_VIT,TSS,"13310,13312",0.632,0.632,0.84,0.619,0.767,0.752,0.663,0.716,0.63,0.885,13310,0.713,N,13312.0,20230528
20230527,LLM_VIT,TSS,"13311,13313,13314",0.649,0.651,0.827,0.646,0.752,0.769,0.691,0.742,0.66,0.886,13313,0.727,C,13314.0,20230528
20230527,LLM_VIT,TSS,13315,0.76,0.808,0.902,0.685,0.851,0.804,0.769,0.856,0.767,0.934,13315,0.813,M,13315.0,20230528
20230528,LLM_VIT,TSS,"13310,13312",0.61,0.627,0.834,0.616,0.749,0.765,0.652,0.726,0.601,0.846,13312,0.702,C,13310.0,20230529
20230528,LLM_VIT,TSS,"13311,13313,13314",0.701,0.711,0.913,0.709,0.821,0.851,0.781,0.872,0.757,0.93,13311,0.804,N,13314.0,20230529
20230528,LLM_VIT,TSS,13315,0.644,0.691,0.787,0.605,0.724,0.691,0.618,0.664,0.603,0.85,13315,0.687,C,13315.0,20230529
20230528,LLM_VIT,TSS,13316,0.3,0.225,0.235,0.261,0.264,0.267,0.248,0.309,0.288,0.22,13316,0.261,N,13316.0,20230529
20230529,LLM_VIT,TSS,13315,0.677,0.71,0.832,0.624,0.767,0.734,0.646,0.728,0.641,0.868,13315,0.722,M,13315.0,20230530
20230529,LLM_VIT,TSS,13316,0.26,0.18,0.201,0.225,0.234,0.227,0.216,0.272,0.252,0.184,13316,0.225,N,13316.0,20230530
20230530,LLM_VIT,TSS,13315,0.767,0.787,0.929,0.689,0.869,0.842,0.759,0.89,0.758,0.935,13315,0.822,C,13315.0,20230531
20230530,LLM_VIT,TSS,13316,0.227,0.151,0.176,0.199,0.214,0.205,0.198,0.241,0.231,0.152,13316,0.199,N,13316.0,20230531
20230531,LLM_VIT,TSS,13315,0.727,0.742,0.908,0.66,0.838,0.816,0.729,0.872,0.729,0.911,13315,0.793,C,13315.0,20230601
20230531,LLM_VIT,TSS,13316,0.191,0.121,0.139,0.164,0.173,0.169,0.166,0.191,0.182,0.125,13316,0.162,N,13316.0,20230601
20230531,LLM_VIT,TSS,13319,0.524,0.516,0.496,0.474,0.501,0.488,0.464,0.495,0.492,0.621,13319,0.507,N,13319.0,20230601
20230601,LLM_VIT,TSS,13316,0.191,0.132,0.157,0.164,0.176,0.183,0.166,0.185,0.184,0.126,13316,0.166,N,13316.0,20230602
20230601,LLM_VIT,TSS,13319,0.533,0.538,0.561,0.498,0.544,0.53,0.489,0.526,0.503,0.653,13319,0.537,C,13319.0,20230602
20230601,LLM_VIT,TSS,13320,0.428,0.345,0.496,0.376,0.424,0.441,0.366,0.532,0.454,0.395,13320,0.425,N,13320.0,20230602
20230601,LLM_VIT,TSS,13321,0.52,0.494,0.61,0.481,0.545,0.534,0.479,0.586,0.526,0.609,13321,0.538,N,13321.0,20230602
20230602,LLM_VIT,TSS,13319,0.555,0.562,0.641,0.532,0.581,0.601,0.529,0.585,0.527,0.709,13319,0.582,C,13319.0,20230603
20230602,LLM_VIT,TSS,13320,0.365,0.288,0.395,0.313,0.383,0.362,0.327,0.448,0.387,0.343,13320,0.361,N,13320.0,20230603
20230602,LLM_VIT,TSS,13321,0.518,0.495,0.581,0.472,0.546,0.514,0.473,0.567,0.514,0.605,13321,0.528,N,13321.0,20230603
20230602,LLM_VIT,TSS,13323,0.641,0.637,0.814,0.609,0.717,0.727,0.638,0.761,0.655,0.834,13323,0.703,C,13323.0,20230603
20230603,LLM_VIT,TSS,13320,0.35,0.274,0.335,0.294,0.352,0.316,0.298,0.393,0.359,0.293,13320,0.326,N,13320.0,20230604
20230603,LLM_VIT,TSS,13321,0.488,0.461,0.538,0.437,0.532,0.457,0.451,0.52,0.49,0.571,13321,0.494,N,13321.0,20230604
20230603,LLM_VIT,TSS,13323,0.749,0.746,0.917,0.672,0.84,0.823,0.755,0.895,0.777,0.91,13323,0.808,C,13323.0,20230604
20230604,LLM_VIT,TSS,13320,0.34,0.264,0.281,0.287,0.316,0.288,0.276,0.344,0.336,0.255,13320,0.298,C,13320.0,20230605
20230604,LLM_VIT,TSS,13321,0.453,0.427,0.449,0.401,0.482,0.39,0.418,0.444,0.447,0.506,13321,0.441,N,13321.0,20230605
20230604,LLM_VIT,TSS,13323,0.654,0.651,0.794,0.587,0.734,0.698,0.653,0.777,0.671,0.855,13323,0.707,C,13323.0,20230605
20230604,LLM_VIT,TSS,13325,0.207,0.143,0.129,0.181,0.177,0.158,0.188,0.183,0.199,0.167,13325,0.173,N,13325.0,20230605
20230604,LLM_VIT,TSS,13326,0.397,0.34,0.391,0.36,0.371,0.378,0.329,0.443,0.401,0.363,13326,0.377,N,13326.0,20230605
20230605,LLM_VIT,TSS,13320,0.35,0.275,0.297,0.298,0.321,0.309,0.285,0.364,0.347,0.273,13320,0.311,N,13320.0,20230606
20230605,LLM_VIT,TSS,13321,0.446,0.424,0.398,0.395,0.455,0.369,0.397,0.401,0.424,0.476,13321,0.418,N,13321.0,20230606
20230605,LLM_VIT,TSS,13323,0.516,0.493,0.525,0.468,0.54,0.501,0.484,0.516,0.497,0.67,13323,0.52,N,13323.0,20230606
20230605,LLM_VIT,TSS,13325,0.232,0.17,0.178,0.196,0.204,0.203,0.191,0.225,0.223,0.143,13325,0.196,N,13325.0,20230606
20230605,LLM_VIT,TSS,13326,0.511,0.48,0.644,0.504,0.543,0.622,0.501,0.656,0.534,0.616,13326,0.561,N,13326.0,20230606
20230606,LLM_VIT,TSS,"13320,13328",0.243,0.172,0.208,0.218,0.237,0.225,0.224,0.255,0.253,0.196,13320,0.223,N,13328.0,20230607
20230606,LLM_VIT,TSS,13321,0.492,0.477,0.5,0.431,0.52,0.445,0.439,0.481,0.464,0.564,13321,0.481,N,13321.0,20230607
20230606,LLM_VIT,TSS,13323,0.428,0.373,0.338,0.377,0.41,0.369,0.373,0.357,0.382,0.492,13323,0.389,C,13323.0,20230607
20230606,LLM_VIT,TSS,13325,0.254,0.172,0.239,0.226,0.234,0.245,0.215,0.287,0.258,0.173,13325,0.23,N,13325.0,20230607
20230606,LLM_VIT,TSS,13326,0.525,0.493,0.666,0.523,0.586,0.622,0.543,0.64,0.554,0.676,13326,0.582,N,13326.0,20230607
20230606,LLM_VIT,TSS,13327,0.68,0.667,0.842,0.661,0.735,0.777,0.702,0.793,0.705,0.865,13327,0.742,M,13327.0,20230607
20230607,LLM_VIT,TSS,"13320,13328",0.32,0.242,0.294,0.269,0.284,0.303,0.258,0.357,0.311,0.241,13320,0.287,N,13328.0,20230608
20230607,LLM_VIT,TSS,13321,0.514,0.499,0.557,0.453,0.545,0.489,0.468,0.542,0.495,0.603,13321,0.516,N,13321.0,20230608
20230607,LLM_VIT,TSS,13323,0.404,0.329,0.329,0.353,0.394,0.359,0.352,0.364,0.377,0.465,13323,0.372,N,13323.0,20230608
20230607,LLM_VIT,TSS,13327,0.72,0.672,0.884,0.663,0.79,0.783,0.696,0.823,0.747,0.881,13327,0.765,C,13327.0,20230608
20230608,LLM_VIT,TSS,13321,0.514,0.476,0.626,0.464,0.55,0.527,0.489,0.599,0.536,0.629,13321,0.541,C,13321.0,20230609
20230608,LLM_VIT,TSS,13323,0.425,0.358,0.398,0.379,0.437,0.42,0.399,0.434,0.416,0.491,13323,0.415,C,13323.0,20230609
20230608,LLM_VIT,TSS,"13326,13329,13330",0.451,0.416,0.481,0.431,0.513,0.471,0.452,0.469,0.448,0.609,13330,0.474,N,13330.0,20230609
20230608,LLM_VIT,TSS,13327,0.822,0.787,0.96,0.718,0.914,0.874,0.824,0.943,0.861,0.955,13327,0.865,C,13327.0,20230609
20230609,LLM_VIT,TSS,13323,0.392,0.332,0.396,0.371,0.412,0.433,0.351,0.431,0.386,0.458,13323,0.396,C,13323.0,20230610
20230609,LLM_VIT,TSS,"13326,13329,13330",0.394,0.351,0.344,0.379,0.423,0.384,0.377,0.34,0.363,0.504,13329,0.385,N,13330.0,20230610
20230609,LLM_VIT,TSS,13327,0.753,0.701,0.91,0.631,0.861,0.79,0.751,0.891,0.786,0.912,13327,0.798,C,13327.0,20230610
20230609,LLM_VIT,TSS,13331,0.437,0.411,0.443,0.417,0.431,0.445,0.383,0.472,0.427,0.472,13331,0.433,N,13331.0,20230610
20230610,LLM_VIT,TSS,"13326,13329,13330",0.407,0.364,0.359,0.385,0.425,0.401,0.383,0.357,0.369,0.513,13329,0.396,N,13330.0,20230611
20230610,LLM_VIT,TSS,13327,0.699,0.625,0.834,0.578,0.798,0.718,0.671,0.814,0.715,0.856,13327,0.73,C,13327.0,20230611
20230610,LLM_VIT,TSS,13331,0.409,0.384,0.359,0.387,0.388,0.386,0.364,0.401,0.388,0.43,13331,0.389,C,13331.0,20230611
20230610,LLM_VIT,TSS,13332,0.208,0.137,0.162,0.183,0.199,0.196,0.189,0.23,0.215,0.151,13332,0.187,N,13332.0,20230611
20230611,LLM_VIT,TSS,"13326,13329,13330",0.499,0.446,0.559,0.464,0.544,0.533,0.487,0.545,0.491,0.622,13326,0.518,C,13330.0,20230612
20230611,LLM_VIT,TSS,13327,0.674,0.622,0.785,0.576,0.758,0.713,0.66,0.777,0.672,0.85,13327,0.708,C,13327.0,20230612
20230611,LLM_VIT,TSS,13331,0.368,0.332,0.292,0.339,0.339,0.324,0.324,0.332,0.338,0.377,13331,0.336,C,13331.0,20230612
20230611,LLM_VIT,TSS,13332,0.207,0.145,0.165,0.182,0.186,0.188,0.186,0.208,0.207,0.143,13332,0.181,N,13332.0,20230612
20230614,LLM_VIT,TSS,13331,0.505,0.445,0.571,0.415,0.539,0.489,0.456,0.63,0.532,0.588,13331,0.517,N,13331.0,20230615
20230615,LLM_VIT,TSS,13331,0.424,0.356,0.423,0.367,0.404,0.402,0.356,0.482,0.428,0.384,13331,0.402,M,13331.0,20230616
20230615,LLM_VIT,TSS,13333,0.442,0.407,0.385,0.398,0.407,0.394,0.383,0.446,0.427,0.457,13333,0.414,N,13333.0,20230616
