Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.6500000000000001,Accuracy,0.855,0.855
0.6500000000000001,Recall,0.85,0.916
0.6500000000000001,Precision,0.991,0.343
0.6500000000000001,TSS,0.766,0.766
0.6500000000000001,HSS,0.435,0.435
0.6500000000000001,FAR,0.008,0.656
0.6500000000000001,FPR,0.083,0.15
