Threshold,TSS
0.05,0.0
0.1,0.0
0.15000000000000002,0.05
0.2,0.185
0.25,0.378
0.3,0.585
0.35000000000000003,0.63
0.4,0.709
0.45,0.723
0.5,0.78
0.55,0.74
0.6000000000000001,0.678
0.6500000000000001,0.609
0.7000000000000001,0.54
0.7500000000000001,0.547
0.8,0.485
0.8500000000000001,0.319
0.9000000000000001,0.152
0.9500000000000001,0.076
