Threshold,TSS,TSSstd
0.05,0.011,0.034
0.1,0.13,0.212
0.15000000000000002,0.34,0.24
0.2,0.515,0.216
0.25,0.624,0.176
0.3,0.742,0.14
0.35000000000000003,0.858,0.069
0.4,0.933,0.041
0.45,0.911,0.085
0.5,0.893,0.125
0.55,0.813,0.161
0.6000000000000001,0.772,0.172
0.6500000000000001,0.65,0.175
0.7000000000000001,0.587,0.194
0.7500000000000001,0.45,0.178
0.8,0.337,0.158
0.8500000000000001,0.212,0.125
0.9000000000000001,0.087,0.125
0.9500000000000001,0.012,0.037
