,Threshold,Metric,Class 1 Mean_Std,Class 2 Mean_Std
0,Threshold 0.55,Accuracy,0.968_0.013,0.968_0.013
1,Threshold 0.55,Recall,0.965_0.014,1.0_0.0
2,Threshold 0.55,Precision,1.0_0.0,0.775_0.068
3,Threshold 0.55,TSS,0.965_0.014,0.965_0.014
4,Threshold 0.55,BSS,0.097_0.012,-0.05_0.133
5,Threshold 0.55,HSS,0.854_0.052,0.854_0.052
6,Threshold 0.55,FAR,0.0_0.0,0.224_0.068
7,Threshold 0.55,FPR,0.0_0.0,0.034_0.014
