,Threshold,Metric,Class 1 Mean_Std,Class 2 Mean_Std
0,Threshold 0.15000000000000002,Accuracy,0.818_0.0,0.818_0.0
1,Threshold 0.15000000000000002,Recall,0.884_0.0,0.25_0.0
2,Threshold 0.15000000000000002,Precision,0.91_0.0,0.199_0.0
3,Threshold 0.15000000000000002,TSS,0.134_0.0,0.134_0.0
4,Threshold 0.15000000000000002,BSS,0.095_0.0,-0.022_0.0
5,Threshold 0.15000000000000002,HSS,0.12_0.0,0.12_0.0
6,Threshold 0.15000000000000002,FAR,0.089_0.0,0.799_0.0
7,Threshold 0.15000000000000002,FPR,0.75_0.0,0.115_0.0
